,roundness,slenderness,hu1,hu2,hu3,hu4,hu5,hu6,hu7
0,0.46212,9.68,2.0786038738669674,4.177021695384097,8.77944855246626,9.717181900544567,-19.046121043815088,-11.863775939450429,-19.219708451615304
1,0.2803,13.36,1.8585273177120634,3.7304241937628437,8.859593121445986,8.952896112724265,17.85921954728344,10.821356825295178,-19.579246038947872
2,0.53549,6.76,2.1613187952594424,4.354179222468516,9.28856260712392,9.638515066821999,19.102373560935696,11.816702952922979,20.51824866534147
3,0.30254,12.85,1.9324728229107564,3.8815399279705645,10.203778575684636,10.526969430653752,20.892369826808,12.46799222592554,-22.849989532086827
4,0.67239,6.31,2.2024070971234226,4.445090299398055,9.158725702009896,9.712627490375075,19.205761013018392,12.071551347051404,19.465105421486797
5,0.33389,9.15,1.9410544612113758,3.8953075597173203,8.657962291540755,8.900171967585077,17.679289734207742,10.848207504558522,19.495407332824126
6,0.40558,7.43,1.8292291540895758,3.675370170301496,8.039139446840164,8.317174591153536,16.49966882060052,10.183480785748992,-17.347268515887265
7,0.39854,10.57,2.055680214883599,4.127613440693698,9.735930011527572,10.194260190928372,20.189559782659053,12.35413097792928,-20.602623910085523
8,0.40733,9.38,1.6794639997440426,3.3730932865780803,7.4806402695361,7.614437675367176,15.162096717531798,9.30336758980305,16.790697101482436
9,0.39969,8.41,1.8058339426958603,3.6275702533705583,8.335358689048686,8.621975713243275,17.10065611229651,10.435920426213757,-19.20877413512603
10,0.45206,7.46,1.7771488359097225,3.573257500232031,8.015432996407489,8.335169614140204,16.5104764805606,10.12181767038085,-18.806268687733485
11,0.28069,13.73,1.8434747731661916,3.6996480918625783,12.07862641589408,10.590414842568531,22.00330894705824,12.441260356925053,22.18423747478277
12,0.26398,13.43,1.8687383846538483,3.7501765010559622,9.383453729224142,9.57313230737611,19.05217303629954,11.457879941219396,20.283309456006414
