,roundness,slenderness,hu1,hu2,hu3,hu4,hu5,hu6,hu7
0,1.00469,2.6,2.010036817173404,4.1943432531976725,7.208173888274172,8.269287427966153,16.008331196702205,10.366648716965436,-17.428702884177937
1,0.5778,4.94,1.855565758287197,3.757889553701388,7.428910485462785,7.740419793299808,15.325382560329023,9.620623705902592,16.756774251205822
2,0.76045,3.77,2.0048494582791143,4.0832826023197315,7.767243635310906,8.314332073915685,16.356190886662617,10.358042840732104,17.509146098567587
3,0.56809,4.19,1.9639778285817557,3.9859346092071735,7.812418309241509,8.431807279867163,16.5540774349587,10.425068668276191,-18.123927992997395
4,0.44912,5.43,1.8428394782804802,3.715243552494743,7.898758875061447,8.390212649654124,16.544721240470057,10.271775824448735,-17.207572559774018
5,0.753,3.78,1.8952272438403668,3.8665583815110987,7.274694434856329,7.820307466826958,15.367809726622177,9.753593785765622,-17.977724108145683
6,1.83039,1.96,2.324135904487321,5.01428174184962,7.858241103486246,9.293068644345395,17.86983124974779,11.801688423560833,-19.015437056152393
7,1.054,2.46,2.3333479290316443,4.856205145632078,8.139003006936889,8.913151200891269,17.443982844898223,11.348901936182289,-18.271424138088992
8,1.61142,3.21,2.125546338501604,4.370114323002328,7.6555249491038655,8.209322419793384,16.14222164886922,10.395562971888936,-17.471765351331292
9,0.46196,4.48,1.9732686142403366,3.986052558469925,7.931222630053114,8.54490336688557,16.78572668874853,10.542736296115509,17.732242239816795
10,0.54982,6.38,1.7421705757886423,3.511117623565397,7.919850262808728,8.515150623973579,16.744106004856082,10.291237081207445,-17.3772341547788
11,0.68831,5.64,1.859790635825236,3.7619391350081064,7.764918926971331,8.100398260542267,16.033312333082133,9.982523699972303,17.497884319585708
12,0.37345,7.46,1.7483577637687358,3.5140487725740397,8.584412443160172,9.274433061372655,18.21236172421026,11.044145243875239,-18.911611637977835
13,0.88617,2.9,2.109010981714115,4.341999302502684,7.662875510389344,8.383510896208271,16.40728421542735,10.55557982553763,-17.693613858667838
14,0.63049,4.96,1.9289599852057073,3.915135536420813,7.859756537415787,8.194449156929098,16.2223341010253,10.154617513003041,17.443689804176678
15,0.56508,4.9,1.7962192705666895,3.6399587371921713,7.2439673706442695,7.547595904634171,14.943744326173524,9.369404239560684,16.329732934131822
